name	status	frames	input_script	wram_digest	coverage	last_verified	notes
no-input-intro	pass	30000		a5077d3d9ba1c106	title intro, story text, world map, throne room, Zelda prison, maiden warp, end-of-story loop	2026-05-23	baseline attract/intro oracle window
title-start	pass	5000	scripts/inputs/title-start.txt	51cc44fb5e0d1655	title Start through initial file-select setup and idle main screen	2026-05-23	recorded Start input path
file-select-new-game	pass	5000	scripts/inputs/file-select-new-game.txt	6e3be721daf0d42b	empty-slot select, name-file one-character save, return to occupied-slot file select	2026-05-23	recorded new-file creation path
file-select-enter-game	pass	107000	scripts/inputs/file-select-enter-game.txt	3159b761a47fa0d6	file-select saved-slot selection into Module05_LoadFile, first gameplay-frame setup, Uncle message trigger/dismissal, repeated saved-slot indoor movement/A probes, chest-tile A-action classification, and later in-room message trigger/dismissal cycles	2026-05-23	formerly active gameplay-entry frontier; now matches through repeated saved-slot movement/interactions, chest-adjacent A probes, and later message cycles from checkpointed frontier
file-select-message-dismiss-wander	pass	122000	scripts/inputs/file-select-enter-game-message-dismiss-and-wander.txt	ed37eeb35721bf24	saved-slot route extends the 107000-frame message frontier with message dismissal, more indoor movement/OAM churn, A-button probes, and another in-room message cycle	2026-05-24	extension script includes file-select-enter-game.txt and resumes quickly from the equivalent 107000-frame checkpoint
file-select-diagonal-sweeps	pass	116000	scripts/inputs/file-select-enter-game-diagonal-sweeps.txt	573328193bac854d	saved-slot route dismisses the 107000-frame message frontier and exercises diagonal indoor movement sweeps plus follow-up A presses	2026-05-24	extension script includes file-select-enter-game.txt and resumes quickly from the equivalent 107000-frame checkpoint
file-select-button-taps	pass	112000	scripts/inputs/file-select-enter-game-button-taps.txt	3098304aa5048c6f	saved-slot route dismisses the 107000-frame message frontier and probes isolated B/Y/X/L/R taps before short movement sweeps	2026-05-24	extension script includes file-select-enter-game.txt and resumes quickly from the equivalent 107000-frame checkpoint
file-select-button-direction-probes	pass	114000	scripts/inputs/file-select-enter-game-button-probes.txt	aefe8ff680a60dea	saved-slot route probes combined button+direction inputs after message dismissal, including X+UP movement collision/nudge handling	2026-05-24	cleared previous frame-108662 frontier by matching the C HandlePushingBonkingSnaps nudge direction and related cardinal-collision side effects
tas-us-full-completion-smv	pass	50000	scripts/inputs/tas-us-full-completion-smv.txt	cc117ab564b664e4	US full-completion SMV bootstrap with extracted reset SRAM sidecar; remains in Module04_NameFile through the verified window	2026-05-24	run with --load-sram scripts/inputs/tas-us-full-completion-smv.sram; embedded SRAM is uniform 0x60 bytes, so this is not broad gameplay coverage
tas-us-rta-ace	pass	32613	scripts/inputs/tas-us-rta-ace.txt	f01523b0bba49471	US BizHawk/bsnes RTA TAS route from reset through title skip, file setup, uncle opening, house exit transition, and early outside movement	2026-05-30	current broad gameplay route; useful for catching starting-house exit, transition, overworld scroll, sprite handoff, and diagonal-collision parity regressions
opening-uncle-dismiss-and-move	pass	36810	scripts/inputs/opening-uncle-message-dismiss-and-move.txt	893772a0cd71d8ce	new-game opening through Uncle message dismissal, indoor cardinal movement, directional player OAM/DMA, directional collision limiting, and repeated grab/pull probes	2026-05-23	recorded gameplay movement path now includes later Uncle-message dismissal, post-dismissal cardinal movement, and left-facing grab/pull OAM/DMA
opening-uncle-extended-move	pass	45610	scripts/inputs/opening-uncle-message-extended-move.txt	4d3c07b597e279db	new-game opening route extends past the existing movement frontier with longer in-house movement sweeps and more A-button probes	2026-05-24	extension script includes opening-uncle-message-dismiss-and-move.txt and resumes quickly from the equivalent 28610-frame checkpoint
opening-uncle-diagonal-sweeps	pass	45610	scripts/inputs/opening-uncle-message-diagonal-sweeps.txt	e9bec02dd1924404	new-game opening route extends past the existing movement frontier with diagonal in-house movement sweeps and follow-up A-button probes	2026-05-24	extension script includes opening-uncle-message-dismiss-and-move.txt and resumes quickly from the equivalent 28610-frame checkpoint
coverage-branch-89424-bush-poof-ancilla	pass	113424	scripts/inputs/coverage-branch-89424-bush-poof-ancilla.txt		overworld branch from promoted checkpoint 89424 covering bush poof and wrapped ancilla/effect OBJ rendering	2026-07-05	source-art GPU coverage expansion; resumes from .cache/parity-golden/ck/89424.sav and exercises streamed sprite CHR cells missing from the prior atlas
coverage-branch-916218-somaria-fission-ancilla	pass	928218	scripts/inputs/coverage-branch-916218-somaria-fission-ancilla.txt		dungeon branch from promoted checkpoint 916218 covering Somaria block fission ancilla/effect rendering	2026-07-05	source-art GPU coverage expansion; resumes from .cache/replay-bisect/rust-frame-916218.sav and exercises BG stream source cells missing from the prior atlas
coverage-branch-357697-main-menu-modules	pass	369697	scripts/inputs/coverage-branch-357697-main-menu-modules.txt		main-module coverage branch from promoted checkpoint 357697 covering modules 0x02, 0x03, and 0x1b	2026-07-05	source-art GPU coverage expansion; resumes from .cache/parity-golden/ck/357697.sav and exercises menu/module-transition BG stream source cells
coverage-branch-496311-pikit-shield-drop	pass	497484	scripts/inputs/coverage-branch-496311-pikit-shield-drop.txt		overworld branch from promoted Pikit checkpoint 496311 covering stolen-shield drop sprite 0xe6	2026-07-05	source-art GPU coverage expansion; resumes from .cache/parity-probes/pikit-alt/route-496311-ow73.sav and exercises overworld BG stream source cells
coverage-branch-511196-archery-game	pass	512500	scripts/inputs/coverage-branch-511196-archery-game.txt		overworld branch from promoted archery checkpoint 511196 covering DW screen 0x69 and room 0x0111 entrance	2026-07-05	source-art GPU coverage expansion; resumes from .cache/parity-probes/archery/rust-frame-511196-ow-0069.sav and exercises archery-area BG stream source cells
coverage-branch-591900-wilted-terrace-ow7c	pass	596100	scripts/inputs/coverage-branch-591900-wilted-terrace-ow7c.txt		overworld branch from promoted checkpoint 591900 covering DW screen 0x007c Wilted Terrace	2026-07-05	source-art GPU coverage expansion; resumes from .cache/parity-probes/ow-neighbor/route-591900-ow007b-stable.sav and exercises Wilted Terrace BG stream source cells
coverage-branch-872500-flute-stop4-ow2f	pass	878500	scripts/inputs/coverage-branch-872500-flute-stop4-ow2f.txt		flute-travel branch from promoted checkpoint 872500 covering light-world screen 0x002f	2026-07-05	source-art GPU coverage expansion; resumes from .cache/parity-probes/flute/route-872500-ow05.sav and exercises flute-travel BG stream source cells
